dataset,format,input_name,t,qblue_err,qblue_pipeline,qblue_grouping,qblue_algorithm,qblue_backend,qblue_ok,qblue_wall_s,qblue_qubits,qblue_gates_opt_total,qblue_gates_opt_CX,paulihedral_compiler,paulihedral_order_method,paulihedral_qiskit_opt,paulihedral_reverse_labels,paulihedral_ok,paulihedral_wall_s,paulihedral_qubits,paulihedral_depth,paulihedral_gates_opt_total,paulihedral_gates_opt_CX,ratio_wall_s,ratio_gates_opt_total,ratio_gates_opt_CX,qblue_stderr_tail,paulihedral_error
MarQSim_dataset,marqsim,_Pauli_string_BeH2_f.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.040973,12,246,156,paulihedral,,True,False,True,0.128215,12,3036,4008,2220,3.12926,16.2927,14.2308,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_f.txt:\n[DBG] Length of Pauli String 661\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 98 pauli strings; lambda = 21.488184; relaxation factor: 1.044829.\n[DBG] Input circuit uses 12 qubits, has 636 gates:  { H : 152, X : 0, Rzq : 142, CX : 342 }.\n[DBG] After optimization, the circuit uses 246 gates : { U1 : 32, U2 : 51, U3 : 7, CX : 156 }.\n\n",
MarQSim_dataset,marqsim,_Pauli_string_BeH2_unf.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.036802,14,176,135,paulihedral,,True,False,True,0.143755,14,4323,5244,3392,3.90617,29.7955,25.1259,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_unf.txt:\n[DBG] Length of Pauli String 661\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 98 pauli strings; lambda = 21.488184; relaxation factor: 1.044829.\n[DBG] Input circuit uses 14 qubits, has 522 gates:  { H : 104, X : 0, Rzq : 134, CX : 284 }.\n[DBG] After optimization, the circuit uses 176 gates : { U1 : 25, U2 : 9, U3 : 7, CX : 135 }.\n\n",
Genesis_dataset,genesis,JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.042610,12,101,68,paulihedral,,True,False,True,0.094245,12,3521,4388,2675,2.2118,43.4455,39.3382,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 631\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 66 pauli strings; lambda = 17.506900; relaxation factor: 1.054484.\n[DBG] Input circuit uses 12 qubits, has 180 gates:  { H : 32, X : 0, Rzq : 64, CX : 84 }.\n[DBG] After optimization, the circuit uses 101 gates : { U1 : 15, U2 : 14, U3 : 4, CX : 68 }.\n\n",
Genesis_dataset,genesis,BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.040765,12,142,106,paulihedral,,True,False,True,0.108327,12,1988,2741,1367,2.65735,19.3028,12.8962,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 631\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 66 pauli strings; lambda = 17.506900; relaxation factor: 1.054484.\n[DBG] Input circuit uses 12 qubits, has 252 gates:  { H : 42, X : 0, Rzq : 68, CX : 142 }.\n[DBG] After optimization, the circuit uses 142 gates : { U1 : 18, U2 : 17, U3 : 1, CX : 106 }.\n\n",
Genesis_dataset,genesis,JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.034571,14,164,115,paulihedral,,True,False,True,0.144460,14,4379,5283,3440,4.17865,32.2134,29.913,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 666\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 235 pauli strings; lambda = 33.705040; relaxation factor: 1.029101.\n[DBG] Input circuit uses 14 qubits, has 607 gates:  { H : 102, X : 0, Rzq : 189, CX : 316 }.\n[DBG] After optimization, the circuit uses 164 gates : { U1 : 28, U2 : 17, U3 : 4, CX : 115 }.\n\n",
Genesis_dataset,genesis,BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.034383,14,260,166,paulihedral,,True,False,True,0.184988,14,2432,3325,1753,5.38022,12.7885,10.5602,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 666\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 235 pauli strings; lambda = 33.705040; relaxation factor: 1.029101.\n[DBG] Input circuit uses 14 qubits, has 1067 gates:  { H : 142, X : 0, Rzq : 217, CX : 708 }.\n[DBG] After optimization, the circuit uses 260 gates : { U1 : 38, U2 : 53, U3 : 3, CX : 166 }.\n\n",
Genesis_dataset,genesis,JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.041021,16,375,266,paulihedral,,True,False,True,0.229460,16,5582,6693,4494,5.59372,17.848,16.8947,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 789\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 366 pauli strings; lambda = 42.223338; relaxation factor: 1.023341.\n[DBG] Input circuit uses 16 qubits, has 1332 gates:  { H : 252, X : 0, Rzq : 332, CX : 748 }.\n[DBG] After optimization, the circuit uses 375 gates : { U1 : 58, U2 : 38, U3 : 13, CX : 266 }.\n\n",
Genesis_dataset,genesis,BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.044797,16,346,238,paulihedral,,True,False,True,0.181349,16,3823,4972,2899,4.04824,14.3699,12.1807,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 789\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 366 pauli strings; lambda = 42.223338; relaxation factor: 1.023341.\n[DBG] Input circuit uses 16 qubits, has 1636 gates:  { H : 262, X : 0, Rzq : 322, CX : 1052 }.\n[DBG] After optimization, the circuit uses 346 gates : { U1 : 61, U2 : 34, U3 : 13, CX : 238 }.\n\n",
Genesis_dataset,genesis,BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.040368,12,494,304,paulihedral,,True,False,True,0.147915,12,3367,4611,2377,3.66416,9.33401,7.81908,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 915\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 305 pauli strings; lambda = 38.512463; relaxation factor: 1.025576.\n[DBG] Input circuit uses 12 qubits, has 1871 gates:  { H : 452, X : 0, Rzq : 403, CX : 1016 }.\n[DBG] After optimization, the circuit uses 494 gates : { U1 : 86, U2 : 91, U3 : 13, CX : 304 }.\n\n",
Genesis_dataset,genesis,JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,0.1,qdrift,none,Trotterization (QDrift),IBMDigital,True,0.038042,12,552,384,paulihedral,,True,False,True,0.149613,12,5381,6588,3975,3.93284,11.9348,10.3516,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt.marqsim.txt:\n[DBG] Length of Pauli String 915\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 305 pauli strings; lambda = 38.512463; relaxation factor: 1.025576.\n[DBG] Input circuit uses 12 qubits, has 1219 gates:  { H : 258, X : 0, Rzq : 301, CX : 660 }.\n[DBG] After optimization, the circuit uses 552 gates : { U1 : 77, U2 : 75, U3 : 16, CX : 384 }.\n\n",
